,link,City,District,Street,Meters,Floor,Rooms,Price
123,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-synow-pulku-42m2-mzn2043921427,Warszawa,Bemowo,Synów Pułku,42.0,9/11,2,559000
124,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-przy-torach-29m2-mzn2043635195,Warszawa,Włochy,Przy Torach,29.0,0/6,2,699000
125,/oferta/sprzedaz-mieszkanie-warszawa-ursus-62m2-mzn2044030545,Warszawa,Ursus,Ursus,62.0,2/7,3,818000
126,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-komitet-obrony-robotnikow-56m2-mzn2044763706,Warszawa,Okęcie,Okęcie,56.0,3/4,3,750000
127,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-marcina-flisa-71m2-mzn2045139567,Warszawa,Włochy,Marcina Flisa,71.0,3/5,3,1275000
128,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-87m2-mzn2045051140,Warszawa,Bemowo,Kopalniana,87.0,0/4,3,1750000
129,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-szeligowska-49m2-mzn2045098679,Warszawa,Bemowo,Szeligowska,49.0,1/4,2,630000
130,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-lazurowa-39m2-mzn2045253870,Warszawa,Bemowo,Lazurowa,39.0,2/6,2,872960
131,/oferta/sprzedaz-mieszkanie-warszawa-ursus-ryzowa-51m2-mzn2045229889,Warszawa,Ursus,Ryżowa,51.0,1/6,2,780000
132,/oferta/sprzedaz-mieszkanie-warszawa-ursus-edwarda-habicha-46m2-mzn2045239008,Warszawa,Ursus,Edwarda Habicha,46.0,2/7,2,799997
133,/oferta/sprzedaz-mieszkanie-warszawa-ursus-58m2-mzn2045175738,Warszawa,Ursus,Ursus,58.0,1/7,3,899000
134,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-32m2-mzn2045128484,Warszawa,Bemowo,Bemowo,32.0,1/8,2,759000
135,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-rozlogi-50m2-mzn2045217536,Warszawa,Bemowo,Rozłogi,50.0,10/11,3,775000
136,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-jana-olbrachta-48m2-mzn2045270490,Warszawa,Bemowo,Jana Olbrachta,48.0,3/3,2,760000
137,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-zwirki-i-wigury-42m2-mzn2045190714,Warszawa,Włochy,Żwirki i Wigury,42.0,0/3,2,679000
138,/oferta/sprzedaz-mieszkanie-warszawa-ursus-przy-forcie-68m2-mzn2045276779,Warszawa,Ursus,Przy Forcie,68.0,3/4,3,930000
139,/oferta/sprzedaz-mieszkanie-warszawa-ursus-zagloby-48m2-mzn2045277123,Warszawa,Ursus,Zagłoby,48.0,4/4,3,669000
140,/oferta/sprzedaz-mieszkanie-warszawa-bemowo-obroncow-tobruku-44m2-mzn2044557467,Warszawa,Bemowo,Obrońców Tobruku,44.0,2/5,2,790000
141,/oferta/sprzedaz-mieszkanie-warszawa-wlochy-aleja-dwudziestolatkow-47m2-mzn2044960068,Warszawa,Włochy,Aleja Dwudziestolatków,47.0,1/4,3,690000
